CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
01187;317;662;23410;;;;;;;;;;;;;;;;;;;;;;;;
01188;244;688;22470;;;;;;;;;;;;;;;;;;;;;;;;
01189;441;1065;27050;;;;;;;;;;;;;;;;;;;;;;;;
01190;;;;;;;;;;;;;;;;;;;;;;;;;;;
01191;68;153;24760;;;;;;;;;;;;;;;;;;;;;;;;
01192;913;2212;22240;64;;;;;;;;;;81.2;75.2;2.5;3.5;21.5;8.5;4.8;2.3;1.4;1.1;-16;14200;35500;2.5
01193;96;213;22550;;;;;;;;;;;;;;;;;;;;;;;;
01194;2581;6166;22840;61;9;;;;;;;;19;72.8;66;3.1;3.7;29.8;7.5;5.3;2.2;1.9;1.2;-15.4;13420;36830;2.7
01195;697;1729;24440;;;;;;;;;;;;;;;;;;;;;;;;
01196;445;1151;21520;;;;;;;;;;;;;;;;;;;;;;;;
01197;176;399;24950;;;;;;;;;;;;;;;;;;;;;;;;
01198;99;246;23950;;;;;;;;;;;;;;;;;;;;;;;;
01199;882;1954;22060;;;;;;;;;;;;;;;;;;;;;;;;
01200;78;191;22410;;;;;;;;;;;;;;;;;;;;;;;;
01202;3268;7383;22490;60;9;;;;;;;5;17;72.9;65.8;2.9;4.2;29.3;8.2;5.3;2.2;2;1.1;-15.7;13590;36800;2.7
01203;526;1294;23190;;;;;;;;;;;;;;;;;;;;;;;;
01204;282;710;25250;;;;;;;;;;;;;;;;;;;;;;;;
01206;117;278;23400;;;;;;;;;;;;;;;;;;;;;;;;
01207;117;324;27960;;;;;;;;;;;;;;;;;;;;;;;;
01208;63;127;23500;;;;;;;;;;;;;;;;;;;;;;;;
01209;263;709;30330;;;;;;;;;;;;;;;;;;;;;;;;
01210;111;208;21610;;;;;;;;;;;;;;;;;;;;;;;;
01211;605;1368;23930;;;;;;;;;;;;;;;;;;;;;;;;
01212;276;679;21010;;;;;;;;;;;;;;;;;;;;;;;;
01213;512;1365;23480;;;;;;;;;;;;;;;;;;;;;;;;
01214;74;163;24150;;;;;;;;;;;;;;;;;;;;;;;;
01215;56;134;22100;;;;;;;;;;;;;;;;;;;;;;;;
01216;365;827;22280;;;;;;;;;;;;;;;;;;;;;;;;
01219;76;157;19170;;;;;;;;;;;;;;;;;;;;;;;;
01224;1284;3275;22530;62;8;;;;;;;;;80.8;74.5;3.2;3.1;22.2;6.7;5;3;1.3;0.7;-14.7;14150;34370;2.4
01225;147;356;25590;;;;;;;;;;;;;;;;;;;;;;;;
01227;265;647;23660;;;;;;;;;;;;;;;;;;;;;;;;
01228;268;659;25750;;;;;;;;;;;;;;;;;;;;;;;;
01229;529;1248;23090;;;;;;;;;;;;;;;;;;;;;;;;
01230;132;317;20700;;;;;;;;;;;;;;;;;;;;;;;;
01231;819;2036;23750;63;;;;;;;;;;70.4;62.9;1.4;6.1;29.6;12.9;3.2;1.8;0.9;0.5;-16.1;15320;35620;2.3
01232;936;2182;22940;57;;;;;;;;;;66.9;59.5;2.2;5.2;32.9;11.4;4;1.9;1.4;0.7;-15.2;14250;36420;2.6
01233;60;129;23840;;;;;;;;;;;;;;;;;;;;;;;;
01234;71;152;23820;;;;;;;;;;;;;;;;;;;;;;;;
01235;447;1132;22340;;;;;;;;;;;;;;;;;;;;;;;;
01236;407;1012;21740;;;;;;;;;;;;;;;;;;;;;;;;
01237;645;1704;22800;;;;;;;;;;;;;;;;;;;;;;;;
01238;1046;2818;27410;74;;;;;;;;;;80.7;73.4;2.6;4.7;23.3;10.6;3.5;1.9;1;0.6;-18.1;16480;43350;2.6
01239;263;634;23830;;;;;;;;;;;;;;;;;;;;;;;;
01240;271;637;23260;;;;;;;;;;;;;;;;;;;;;;;;
01241;564;1306;24650;;;;;;;;;;;;;;;;;;;;;;;;
01242;56;122;18380;;;;;;;;;;;;;;;;;;;;;;;;
01243;492;1247;25670;;;;;;;;;;;;;;;;;;;;;;;;
01244;3317;7900;23280;60;9;;;10;;;;;19;79.7;74.3;2.7;2.7;23.8;6.8;5.9;2.5;2.2;1.2;-16.2;13320;38500;2.9
01245;373;872;24000;;;;;;;;;;;;;;;;;;;;;;;;
